Audiofile_name,Total_PII_Detected,True Positive,False Positive,False Negative,True Negative,Accuracy,Precision,Recall,F1 Score,F2 Score
4547022.wav,6,2,4,3,27,0.8055555555555556,0.3333333333333333,0.4,0.3636363636363636,0.3846153846153846
5397141.wav,22,5,17,1,112,0.8666666666666667,0.22727272727272727,0.8333333333333334,0.35714285714285715,0.5434782608695652
5373349.wav,0,0,0,7,0,0.0,0,0.0,0,0
5369770.wav,16,3,13,8,171,0.8923076923076924,0.1875,0.2727272727272727,0.2222222222222222,0.25
5371697.wav,10,1,9,11,117,0.855072463768116,0.1,0.08333333333333333,0.0909090909090909,0.08620689655172413
4543041.wav,11,2,9,5,74,0.8444444444444444,0.18181818181818182,0.2857142857142857,0.2222222222222222,0.25641025641025633
5394622.wav,30,4,26,2,166,0.8585858585858586,0.13333333333333333,0.6666666666666666,0.2222222222222222,0.37037037037037035
4547936.wav,0,0,0,4,0,0.0,0,0.0,0,0
5392044.wav,13,2,11,1,36,0.76,0.15384615384615385,0.6666666666666666,0.25,0.4
4549669.wav,85,8,77,7,1241,0.9369842460615154,0.09411764705882353,0.5333333333333333,0.16,0.27586206896551724
4544210.wav,22,5,17,2,144,0.8869047619047619,0.22727272727272727,0.7142857142857143,0.3448275862068965,0.5
4531643.wav,9,2,7,0,11,0.65,0.2222222222222222,1.0,0.3636363636363636,0.5882352941176471
4550787.wav,10,3,7,1,34,0.8222222222222222,0.3,0.75,0.4285714285714285,0.576923076923077
4548579.wav,7,2,5,3,30,0.8,0.2857142857142857,0.4,0.3333333333333333,0.3703703703703704
5396166.wav,12,3,9,3,62,0.8441558441558441,0.25,0.5,0.3333333333333333,0.4166666666666667
4551012.wav,11,4,7,4,77,0.8804347826086957,0.36363636363636365,0.5,0.4210526315789474,0.4651162790697675
4545753.wav,28,2,26,6,216,0.872,0.07142857142857142,0.25,0.11111111111111112,0.16666666666666666
5391472.wav,4,1,3,2,10,0.6875,0.25,0.3333333333333333,0.28571428571428575,0.3125
4549891.wav,5,2,3,4,26,0.8,0.4,0.3333333333333333,0.3636363636363636,0.3448275862068965
4541297.wav,6,1,5,0,3,0.4444444444444444,0.16666666666666666,1.0,0.2857142857142857,0.5
